months,style,sku,size,pcs,rate,gross_amt
2021-06-01,JNE3615,JNE3615-KR-XXL,XXL,1.00,454.35,454.00
2021-06-01,JNE3615,JNE3615-KR-XXXL,XXXL,1.00,454.35,454.00
2021-06-01,JNE3619,JNE3619-KR-XS,XS,1.00,486.85,487.00
2021-06-01,JNE3619,JNE3619-KR-S,S,1.00,486.85,487.00
2021-06-01,JNE3619,JNE3619-KR-M,M,1.00,486.85,487.00
2021-06-01,JNE3619,JNE3619-KR-L,L,1.00,486.85,487.00
2021-06-01,JNE3619,JNE3619-KR-XL,XL,1.00,486.85,487.00
2021-06-01,JNE3619,JNE3619-KR-XXL,XXL,1.00,486.85,487.00
2021-06-01,JNE3619,JNE3619-KR-XXXL,XXXL,1.00,486.85,487.00
2021-06-01,NW005,NW005-ST-PJ-L,L,1.00,811.85,812.00
2021-06-01,NW005,NW005-ST-PJ-XL,XL,1.00,811.85,812.00
2021-06-01,NW006,NW006-ST-SR-L,L,1.00,811.85,812.00
2021-06-01,NW013,NW013-ST-SR-L,L,1.00,649.35,649.00
2021-06-01,NW031,NW031-TP-PJ-XL,XL,1.00,779.35,779.00
2021-06-01,NW032,NW032-ST-CP-L,L,1.00,779.35,779.00
2021-06-01,SET217,SET217-KR-PP-XS,XS,1.00,1071.85,1072.00
2021-06-01,SET217,SET217-KR-PP-S,S,1.00,1071.85,1072.00
2021-06-01,SET217,SET217-KR-PP-M,M,1.00,1071.85,1072.00
2021-06-01,SET217,SET217-KR-PP-L,L,1.00,1071.85,1072.00
2021-06-01,SET217,SET217-KR-PP-XL,XL,1.00,1071.85,1072.00
2021-06-01,SET217,SET217-KR-PP-XXL,XXL,1.00,1071.85,1072.00
2021-06-01,SET217,SET217-KR-PP-XXXL,XXXL,1.00,1071.85,1072.00
2021-06-01,SET220,SET220-KR-PP-M,M,1.00,1136.85,1137.00
2021-06-01,SET220,SET220-KR-PP-XXL,XXL,1.00,1136.85,1137.00
2021-06-01,SET220,SET220-KR-PP-L,L,1.00,1136.85,1137.00
2021-06-01,SET220,SET220-KR-PP-XL,XL,1.00,1136.85,1137.00
2021-06-01,SET220,SET220-KR-PP-XXXL,XXXL,1.00,1136.85,1137.00
2021-06-01,SET220,SET220-KR-PP-XS,XS,1.00,1136.85,1137.00
2021-06-01,SET220,SET220-KR-PP-S,S,1.00,1136.85,1137.00
2021-06-01,SET058,SET058-KR-NP-L,L,1.00,844.35,844.00
2021-06-01,J0241,J0241-SKD-L,L,1.00,1299.35,1299.00
2021-06-01,J0140,J0140-SET-XS,XS,1.00,941.85,942.00
2021-06-01,JNE3669,JNE3669-TU-S,S,1.00,486.85,487.00
2021-06-01,SET182,SET182-KR-DH-M,M,1.00,779.35,779.00
2021-06-01,J0239,J0239-SKD-XS,XS,1.00,1364.35,1364.00
2021-06-01,J0241,J0241-SKD-XL,XL,1.00,1299.35,1299.00
2021-06-01,JNE3710,JNE3710-DR-S,S,1.00,616.85,617.00
2021-06-01,JNE3629,JNE3629-KR-S,S,1.00,649.35,649.00
2021-06-01,J0037,J0037-KR-S,S,1.00,779.35,779.00
2021-06-01,J0243,J0243-DR-XS,XS,1.00,1039.35,1039.00
2021-06-01,JNE2100,JNE2100-KR-144-M,M,1.00,454.35,454.00
2021-06-01,SET048,SET048-KR-NP-XXL,XXL,1.00,909.35,909.00
2021-06-01,J0037,J0037-KR-M,M,1.00,779.35,779.00
2021-06-01,JNE3669,JNE3669-TU-XS,XS,1.00,486.85,487.00
2021-06-01,J0239,J0239-SKD-M,M,1.00,1364.35,1364.00
2021-06-01,SET182,SET182-KR-DH-XXL,XXL,1.00,779.35,779.00
2021-06-01,JNE3710,JNE3710-DR-S,S,1.00,616.85,617.00
2021-06-01,J0244,J0244-SKD-M,M,1.00,1234.35,1234.00
2021-06-01,J0148,J0148-SET-XXXL,XXXL,1.00,876.85,877.00
2021-06-01,J0237,J0237-SKD-XXXL,XXXL,1.00,1494.35,1494.00
2021-06-01,J0239,J0239-SKD-M,M,1.00,1364.35,1364.00
2021-06-01,J0143,J0143-SET-L,L,1.00,1039.35,1039.00
2021-06-01,J0161,J0161-DR-XS.,XS,1.00,714.35,714.00
2021-06-01,J0186,J0186-SET-XS,XS,1.00,1299.35,1299.00
2021-06-01,JNE2100,JNE2100-KR-144-M,M,1.00,454.35,454.00
2021-06-01,J0037,J0037-KR-S,S,1.00,779.35,779.00
2021-06-01,JNE2265,JNE2265-KR-501-S,S,1.00,454.35,454.00
2021-06-01,BL099,BL099-M,M,1.00,324.35,324.00
2021-06-01,BL099,BL099-XL,XL,1.00,324.35,324.00
2021-06-01,BL103,BL103-M,M,2.00,389.35,779.00
2021-06-01,BL104,BL104-L,L,1.00,421.85,422.00
2021-06-01,BL104,BL104-S,S,1.00,421.85,422.00
2021-06-01,BL104,BL104-XL,XL,1.00,421.85,422.00
2021-06-01,JNE3288,JNE3288-KR-XXXL,XXXL,1.00,584.35,584.00
2021-06-01,JNE3405,JNE3405-KR-S,S,1.00,389.35,389.00
2021-06-01,JNE3439,JNE3439-KR-XL,XL,1.00,421.85,422.00
2021-06-01,JNE3489,JNE3489-KR-S,S,1.00,389.35,389.00
2021-06-01,JNE3560,JNE3560-KR-XXXL,XXXL,1.00,486.85,487.00
2021-06-01,JNE3612,JNE3612-KR-XS,XS,1.00,519.35,519.00
2021-06-01,MEN5003,MEN5003-KR-XL,XL,1.00,616.56,617.00
2021-06-01,MEN5005,MEN5005-KR-XXL,XXL,1.00,616.56,617.00
2021-06-01,MEN5014,MEN5014-KR-M,M,1.00,649.03,649.00
2021-06-01,MEN5014,MEN5014-KR-XL,XL,2.00,649.03,1298.00
2021-06-01,MEN5015,MEN5015-KR-XL,XL,1.00,616.56,617.00
2021-06-01,MEN5016,MEN5016-KR-XL,XL,1.00,649.03,649.00
2021-06-01,MEN5029,MEN5029-KR-XL,XL,1.00,616.56,617.00
2021-06-01,J0178,J0178-TP-L,L,1.00,356.85,357.00
2021-06-01,JNE3609,JNE3609-KR-M,M,1.00,551.85,552.00
2021-06-01,MEN5006,MEN5006-KR-L,L,1.00,649.03,649.00
2021-06-01,J0204,J0204-TP-XL,XL,1.00,746.85,747.00
2021-06-01,J0202,J0202-TP-XL,XL,1.00,649.35,649.00
2021-06-01,J0117,J0117-TP-XXL,XXL,1.00,421.85,422.00
2021-06-01,J0115,J0115-TP-XXL,XXL,1.00,519.35,519.00
2021-06-01,J0118,J0118-TP-XXL,XXL,1.00,421.85,422.00
2021-06-01,J0140,J0140-SET-XXXL,XXXL,1.00,941.85,942.00
2021-06-01,SET236,SET236-KR-PP-XXXL,XXXL,1.00,779.35,779.00
2021-06-01,JNE3713,JNE3713-TP-L,L,1.00,421.85,422.00
2021-06-01,SET196,SET196-KR-NP-M.,M,1.00,811.85,812.00
2021-06-01,SET196,SET196-KR-NP-XL,XL,1.00,811.85,812.00
2021-06-01,SET260,SET260-KR-PP-L,L,1.00,811.85,812.00
2021-06-01,SET260,SET260-KR-PP-XL,XL,1.00,811.85,812.00
2021-06-01,SET194,SET194-KR-NP-XL,XL,1.00,714.35,714.00
2021-06-01,SET194,SET194-KR-NP-XXXL,XXXL,1.00,714.35,714.00
2021-06-01,J0246,J0246-SKD-L,L,1.00,1234.35,1234.00
2021-06-01,J0242,J0242-SKD-XL,XL,1.00,1234.35,1234.00
2021-06-01,J0242,J0242-SKD-XXXL,XXXL,1.00,1234.35,1234.00
2021-06-01,J0239,J0239-SKD-M,M,1.00,1364.35,1364.00
2021-06-01,J0239,J0239-SKD-XL,XL,1.00,1364.35,1364.00
2021-06-01,J0130,J0130-SET-M,M,1.00,974.35,974.00
2021-06-01,J0130,J0130-SET-XL,XL,1.00,974.35,974.00
2021-06-01,J0130,J0130-SET-XXXL,XXXL,1.00,974.35,974.00
2021-06-01,SET268,SET268-KR-NP-S,S,1.00,811.85,812.00
2021-06-01,SET268,SET268-KR-NP-M,M,1.00,811.85,812.00
2021-06-01,SET268,SET268-KR-NP-L,L,1.00,811.85,812.00
2021-06-01,SET268,SET268-KR-NP-XL,XL,1.00,811.85,812.00
2021-06-01,SET268,SET268-KR-NP-XXL,XXL,1.00,811.85,812.00
2021-06-01,SET268,SET268-KR-NP-XXXL,XXXL,1.00,811.85,812.00
2021-06-01,SET263,SET263-KR-NP-S,S,1.00,779.35,779.00
2021-06-01,SET262,SET262-KR-NP-S,S,1.00,844.35,844.00
2021-06-01,SET229,SET229-KR-PP-S,S,1.00,941.85,942.00
2021-06-01,JNE3605,JNE3605-KR-S,S,1.00,454.35,454.00
2021-06-01,J0279,J0279-SET-S,S,1.00,1039.35,1039.00
2021-06-01,J0138,J0138-KR-S,S,1.00,649.35,649.00
2021-06-01,J0148,J0148-SET-S,S,1.00,876.85,877.00
2021-06-01,J0207,J0207-DR-S,S,1.00,811.85,812.00
2021-06-01,MEN5029,MEN5029-KR-M,M,1.00,616.56,617.00
2021-06-01,MEN5008,MEN5008-KR-M,M,1.00,616.56,617.00
2021-06-01,MEN5003,MEN5003-KR-M,M,1.00,616.56,617.00
2021-06-01,MEN5013,MEN5013-KR-M,M,1.00,649.03,649.00
2021-06-01,J0202,J0202-TP-S,S,1.00,649.35,649.00
2021-06-01,J0213,J0213-TP-S,S,1.00,584.35,584.00
2021-06-01,SET098,SET098-KR-PP-M,M,1.00,779.35,779.00
2021-06-01,SET098,SET098-KR-PP-L,L,1.00,779.35,779.00
2021-06-01,SET098,SET098-KR-PP-XL,XL,1.00,779.35,779.00
2021-06-01,SET062,SET062-KR-SP-M,M,1.00,844.35,844.00
2021-06-01,SET062,SET062-KR-SP-L,L,1.00,844.35,844.00
2021-06-01,J0041,J0041-SET-M,M,1.00,876.85,877.00
2021-06-01,J0041,J0041-SET-L,L,1.00,876.85,877.00
2021-06-01,J0041,J0041-SET-XL,XL,1.00,876.85,877.00
2021-06-01,J0041,J0041-SET-XXL,XXL,1.00,876.85,877.00
2021-06-01,SET182,SET182-KR-DH-L,L,1.00,779.35,779.00
2021-06-01,SET182,SET182-KR-DH-XL,XL,1.00,779.35,779.00
2021-06-01,SET144,SET144-KR-NP-XXL,XXL,1.00,876.85,877.00
2021-06-01,SET144,SET144-KR-NP-XXXL,XXXL,1.00,876.85,877.00
2021-06-01,SET110,SET110-KR-PP-XL,XL,1.00,876.85,877.00
